2024-01-25 14:03:11 1 half-installed libpam0g:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 libpcre2-8-0:amd64 <none> 10.39-3build1
2024-01-25 14:03:11 1 half-installed libpcre2-8-0:amd64 10.39-3build1
2024-01-25 14:03:11 1 libpcre3:amd64 <none> 2:8.39-13build5
2024-01-25 14:03:11 1 half-installed libpcre3:amd64 2:8.39-13build5
2024-01-25 14:03:11 1 libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2024-01-25 14:03:11 1 half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2024-01-25 14:03:11 1 libselinux1:amd64 <none> 3.3-1build2
2024-01-25 14:03:11 1 half-installed libselinux1:amd64 3.3-1build2
2024-01-25 14:03:11 1 libsemanage-common:all <none> 3.3-1build2
2024-01-25 14:03:11 1 half-installed libsemanage-common:all 3.3-1build2
2024-01-25 14:03:11 1 libsemanage2:amd64 <none> 3.3-1build2
2024-01-25 14:03:11 1 half-installed libsemanage2:amd64 3.3-1build2
2024-01-25 14:03:11 1 libsepol2:amd64 <none> 3.3-1build1
2024-01-25 14:03:11 1 half-installed libsepol2:amd64 3.3-1build1
2024-01-25 14:03:11 1 libsmartcols1:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 half-installed libsmartcols1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 libss2:amd64 <none> 1.46.5-2ubuntu1
2024-01-25 14:03:11 1 half-installed libss2:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:11 1 libssl3:amd64 <none> 3.0.2-0ubuntu1
2024-01-25 14:03:11 1 half-installed libssl3:amd64 3.0.2-0ubuntu1
2024-01-25 14:03:11 1 libsystemd0:amd64 <none> 249.11-0ubuntu3
2024-01-25 14:03:11 1 half-installed libsystemd0:amd64 249.11-0ubuntu3
2024-01-25 14:03:11 1 libtinfo6:amd64 <none> 6.3-2
2024-01-25 14:03:11 1 half-installed libtinfo6:amd64 6.3-2
2024-01-25 14:03:11 1 libtirpc-common:all <none> 1.3.2-2build1
2024-01-25 14:03:11 1 half-installed libtirpc-common:all 1.3.2-2build1
2024-01-25 14:03:11 1 libtirpc3:amd64 <none> 1.3.2-2build1
2024-01-25 14:03:11 1 half-installed libtirpc3:amd64 1.3.2-2build1
2024-01-25 14:03:11 1 libudev1:amd64 <none> 249.11-0ubuntu3
2024-01-25 14:03:11 1 half-installed libudev1:amd64 249.11-0ubuntu3
2024-01-25 14:03:11 1 libuuid1:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 half-installed libuuid1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 libzstd1:amd64 <none> 1.4.8+dfsg-3build1
2024-01-25 14:03:11 1 half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2024-01-25 14:03:11 1 login:amd64 <none> 1:4.8.1-2ubuntu2
2024-01-25 14:03:11 1 half-installed login:amd64 1:4.8.1-2ubuntu2
2024-01-25 14:03:11 1 logsave:amd64 <none> 1.46.5-2ubuntu1
2024-01-25 14:03:11 1 half-installed logsave:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:11 1 lsb-base:all <none> 11.1.0ubuntu4
2024-01-25 14:03:11 1 half-installed lsb-base:all 11.1.0ubuntu4
2024-01-25 14:03:11 1 half-installed mawk:amd64 1.3.4.20200120-3
2024-01-25 14:03:11 1 mount:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 half-installed mount:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 ncurses-base:all <none> 6.3-2
2024-01-25 14:03:11 1 half-installed ncurses-base:all 6.3-2
2024-01-25 14:03:12 1 ncurses-bin:amd64 <none> 6.3-2
2024-01-25 14:03:12 1 half-installed ncurses-bin:amd64 6.3-2
2024-01-25 14:03:12 1 passwd:amd64 <none> 1:4.8.1-2ubuntu2
2024-01-25 14:03:12 1 half-installed passwd:amd64 1:4.8.1-2ubuntu2
2024-01-25 14:03:12 1 half-installed perl-base:amd64 5.34.0-3ubuntu1
2024-01-25 14:03:12 1 procps:amd64 <none> 2:3.3.17-6ubuntu2
2024-01-25 14:03:12 1 half-installed procps:amd64 2:3.3.17-6ubuntu2
2024-01-25 14:03:12 1 sed:amd64 <none> 4.8-1ubuntu2
2024-01-25 14:03:12 1 half-installed sed:amd64 4.8-1ubuntu2
2024-01-25 14:03:12 1 sensible-utils:all <none> 0.0.17
2024-01-25 14:03:12 1 half-installed sensible-utils:all 0.0.17
2024-01-25 14:03:12 1 sysvinit-utils:amd64 <none> 3.01-1ubuntu1
2024-01-25 14:03:12 1 half-installed sysvinit-utils:amd64 3.01-1ubuntu1
2024-01-25 14:03:12 1 tar:amd64 <none> 1.34+dfsg-1build3
2024-01-25 14:03:12 1 half-installed tar:amd64 1.34+dfsg-1build3
2024-01-25 14:03:12 1 usrmerge:all <none> 25ubuntu2
2024-01-25 14:03:12 1 half-installed usrmerge:all 25ubuntu2
2024-01-25 14:03:12 1 util-linux:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:12 1 half-installed util-linux:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:12 1 zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu9
2024-01-25 14:03:12 1 half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2024-01-25 14:03:12 1 installed lsb-base:all 11.1.0ubuntu4
2024-01-25 14:03:12 1 installed libtirpc-common:all 1.3.2-2build1
2024-01-25 14:03:12 1 installed libaudit-common:all 1:3.0.7-1build1
2024-01-25 14:03:12 1 installed libsemanage-common:all 3.3-1build2
2024-01-25 14:03:12 1 installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:12 1 installed ncurses-base:all 6.3-2
2024-01-25 14:03:12 1 installed sensible-utils:all 0.0.17
2024-01-25 14:03:12 1 installed libcrypt1:amd64 1:4.4.27-1
2024-01-25 14:03:12 1 installed libgcc-s1:amd64 12-20220319-1ubuntu1
